query_id,theme,query,pmid,pubmed_url,title,journal,pub_year,abstract,found_by,grade
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41630220,https://pubmed.ncbi.nlm.nih.gov/41630220/,Fat embolism syndrome with patent foramen ovale combined with brain fat embolism and lung fat embolism: A case report.,Medicine,2026,"RATIONALE: Fat embolism syndrome is a rare complication of fractures or orthopedic surgeries, and cases combined with patent foramen ovale (PFO), cerebral fat embolism, and pulmonary fat embolism are extremely rare.
PATIENT CONCERNS: A 65-year-old female developed sudden shortness of breath and disturbed consciousness 1 day after hip replacement surgery for a left femoral neck fracture, which was misdiagnosed as an acute cerebral infarction.
DIAGNOSES: Taking into account the patient's history of trauma and surgery, cranial diffusion-weighted imaging revealed typical changes indicative of the ",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,40299082,https://pubmed.ncbi.nlm.nih.gov/40299082/,Craniovertebral lipoma associated with hydrocephalus: report of two cases.,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,2025,"Craniovertebral lipomas in children are rare, especially in association with hydrocephalus. We present two cases of craniovertebral lipomas, accompanied by hydrocephalus. Despite eliminating cerebrospinal fluid pathway occlusion as a result of lipoma resection, both patients were complicated by exaggerated ventriculomegaly requiring ventriculoperitoneal shunt placement. Eventually, both children were discharged home after regression of symptoms of increased intracranial pressure and remained stable during long-term follow-up. However, the pathogenesis of expanding hydrocephalus in such cases i",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41593774,https://pubmed.ncbi.nlm.nih.gov/41593774/,"Cerebral venous air embolism, a hidden precursor of arterial ischemia: a case report.",Journal of medical case reports,2026,"BACKGROUND: Cerebral venous air embolism is a rare but potentially fatal complication of central venous catheter insertion and removal. Although most venous air emboli remain clinically silent or cause only transient symptoms, they may exceptionally lead to extensive arterial cerebral ischemia, particularly in patients with impaired pulmonary filtration or pre-existing lung disease. We report a distinctive sequence of computed-tomography-demonstrated cortical venous air followed by extensive right middle and posterior cerebral artery infarction on magnetic resonance imaging despite a negative ",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,42186544,https://pubmed.ncbi.nlm.nih.gov/42186544/,Thromboembolic and cerebrovascular events as initial clues to acromegaly: A clinical case series and review of pathophysiologic links.,SAGE open medical case reports,2026,"Acromegaly is a rare endocrine disorder with an insidious onset and delayed diagnosis, and emerging evidence suggests a potential link to an increased risk of thromboembolic and cerebrovascular events. We present three cases where vascular events were the initial or incidental diagnostic clue. Case 1 involves a 52-year-old man with pulmonary embolism who was subsequently diagnosed with acromegaly. Case 2 describes a 30-year-old man with bilateral pulmonary embolism and a delayed diagnosis of acromegaly. Case 3 reports a 44-year-old man who presented with a transient ischemic attack, leading to",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41728524,https://pubmed.ncbi.nlm.nih.gov/41728524/,When a Pulmonary Embolism Precedes the Fall: Anticoagulation Challenges in Traumatic Intracranial Hemorrhage.,Cureus,2026,"Pulmonary embolism (PE) is typically managed with urgent systemic anticoagulation or reperfusion therapy. However, management becomes complex when PE occurs concurrently with traumatic intracranial hemorrhage (ICH), where anticoagulation may worsen bleeding. A 74-year-old male patient presented after syncope and traumatic head injury. He was hypoxic and tachycardic on arrival with concern for right ventricular strain. Given persistent clinical concern, CT angiography of the chest demonstrated a massive saddle PE. CT of the head revealed traumatic subarachnoid hemorrhage and a small subdural he",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41613506,https://pubmed.ncbi.nlm.nih.gov/41613506/,Fatal Mesenteric Ischemia From a Presumed Paradoxical Embolism Through a Patent Foramen Ovale.,Cureus,2026,"Acute mesenteric ischemia is a highly lethal vascular emergency most often caused by arterial embolism. Paradoxical embolism through a patent foramen ovale (PFO) is a well-recognized cause of cryptogenic stroke, but it is a rare and underrecognized cause of mesenteric arterial occlusion. A 68-year-old woman with a history of paradoxical embolism, chronic deep vein thrombosis, and a patent foramen ovale presented with sudden, severe abdominal pain and vomiting. She had previously undergone brachial artery embolectomy and had been maintained on long-term apixaban, which she later discontinued af",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41989363,https://pubmed.ncbi.nlm.nih.gov/41989363/,Coronary Vasospasm and Myopericarditis Presenting as ST-Segment Elevation Myocardial Infarction During Immune Checkpoint Inhibitor Therapy.,JACC. Case reports,2026,"BACKGROUND: Immune checkpoint inhibitors (ICIs) are associated with rare but potentially fatal immune-related adverse events, including myocarditis, vasculitis, and hypophysitis.
CASE SUMMARY: A 53-year-old man with metastatic clear-cell renal cell carcinoma receiving ipilimumab and nivolumab presented with a clinical picture suggestive of acute coronary syndrome. Coronary angiography showed severe triple-vessel disease without a culprit lesion; repeat angiography demonstrated resolution of coronary lesions, consistent with vasospasm. Cardiac magnetic resonance confirmed ICI-associated myocard",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41705174,https://pubmed.ncbi.nlm.nih.gov/41705174/,Multiple Intimal Injuries Associated With Severe Coronary Spasm.,Clinical case reports,2026,"Coronary vasospasm is a recognized but underappreciated cause of out-of-hospital cardiac arrest. However, the intracoronary imaging features associated with life-threatening vasospastic events have not been fully characterized. We present a patient who experienced recurrent cardiac arrest due to severe coronary vasospasm. Optical coherence tomography (OCT) revealed multiple focal intimal injuries, microthrombus formation, and vessel shrinkage, despite the absence of fixed coronary obstruction. The patient developed repeated ischemic events and ultimately died from nonocclusive mesenteric ische",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41697181,https://pubmed.ncbi.nlm.nih.gov/41697181/,Life-Threatening Cardiogenic Shock During Chemotherapy: The Role of Mechanical Ventricular Support in Cardio-Oncology Patients.,JACC. Case reports,2026,"BACKGROUND: Acute cardiogenic shock is a possible and life-threatening complication of anthracycline therapy. Data on the use of percutaneous mechanical circulatory support in this setting remain limited.
CASE SUMMARY: A 50-year-old woman developed cardiogenic shock 2 days after receiving epirubicin-based chemotherapy. Owing to progressive hemodynamic instability despite inotropic support, an Impella CP was needed. Extracorporeal membrane oxygenation (ECMO) was avoided given chemotherapy-related pancytopenia and the need to minimize bleeding risk. Progressive hemodynamic recovery was achieved,",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,42191642,https://pubmed.ncbi.nlm.nih.gov/42191642/,Gut mayhem at sea: Acute mesenteric ischaemia in a sailor unmasking polyarteritis nodosa.,Tropical doctor,2026,"Acute mesenteric ischaemia is a life-threatening cause of abdominal pain caused by sudden intestinal hypoperfusion. While most cases are related to cardio-embolic events or thrombosis of a pre-existing atherosclerosed vessel in patients with significant cardiovascular risk factors, rarely, it may be the initial manifestation unmasking an underlying systemic vasculitis. We describe a case of polyarteritis nodosa causing mesenteric ischaemia, based on the presence of an inflammatory state and characteristic radiological findings of medium-vessel vasculitis. After treatment with high-dose intrave",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41668836,https://pubmed.ncbi.nlm.nih.gov/41668836/,Spinal Ischemia after Prolonged Resuscitation and Coronary Angiography Under Impella Protection.,European journal of case reports in internal medicine,2026,"Spinal ischemia is a rare condition and accounts for only 1-2% of all neurovascular diseases. In this case, spinal ischemia occurred in a 46-year-old patient after prolonged resuscitation after out-of-hospital cardiac arrest and following invasive coronary angiography and percutaneous coronary intervention under mechanical circulatory support with an Impella (Abiomed, Danvers, MA, USA). Magnetic resonance imaging showed an infarct demarcation from the 5th thoracic vertebra to the conus medullaris. The supply areas of the anterior spinal artery (paraplegia, no response to pain stimulus) as well",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41690205,https://pubmed.ncbi.nlm.nih.gov/41690205/,A rare case of sequential visceral artery aneurysm rupture associated with multifocal vascular abnormalities.,"Legal medicine (Tokyo, Japan)",2026,"Visceral artery aneurysms (VAAs) are rare but potentially fatal, with rupture representing their most serious complication. We report the case of a previously healthy 35-year-old woman who presented to the emergency department with acute abdominal pain caused by rupture of a splenic artery aneurysm, resulting in massive hemoperitoneum. She underwent emergency laparotomy with splenectomy, but approximately one hour postoperatively developed recurrent hemorrhagic shock, necessitating a second surgical intervention with proximal splenic artery ligation. Postoperative CT revealed multiple visceral",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,42205662,https://pubmed.ncbi.nlm.nih.gov/42205662/,Catastrophic Hypoxic-Ischemic Brain Injury Following Influenza A Illness in a Young Woman: A Case Report.,Cureus,2026,"Seasonal viral respiratory infections such as influenza are typically self-limited but can, in rare instances, precipitate severe systemic and neurologic complications. We report the case of a previously healthy 27-year-old woman who developed rapid neurologic collapse one week after flu symptoms and testing positive for influenza A. She presented with altered mental status and experienced a witnessed seizure requiring emergent intubation, followed by refractory shock necessitating multiple vasopressors. Neuroimaging demonstrated diffuse cerebral edema with cerebellar tonsillar herniation and ",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41260265,https://pubmed.ncbi.nlm.nih.gov/41260265/,"Systemic arterial air embolism following computed tomography (CT)-guided percutaneous lung biopsy: Case series and review of underlying risk factors, treatment and preventive strategies.","Clinical medicine (London, England)",2025,"BACKGROUND: Systemic arterial air embolism is an uncommon but potentially fatal complication of CT-guided transthoracic lung biopsy. Although rare, it carries significant morbidity due to cerebral and coronary ischaemia.
CASE PRESENTATION: We report two cases of systemic arterial air embolism occurring during CT-guided percutaneous lung biopsies. Both patients developed acute neurological deficits immediately following the procedure, attributed to cerebral air embolism. Imaging confirmed the presence of intracranial air in subarachnoid spaces. Neurological symptoms improved with supportive man",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41091202,https://pubmed.ncbi.nlm.nih.gov/41091202/,Litigation and Complications Arising from Aesthetic Body Surgery: A Systematic Review.,Aesthetic plastic surgery,2026,"BACKGROUND: Aesthetic body surgeries such as liposuction, abdominoplasty, gluteoplasty, and breast augmentation have seen a global rise. However, the growing popularity of these procedures has led to increased reports of postoperative complications and medico-legal disputes.
OBJECTIVE: To systematically review complications and litigation outcomes associated with aesthetic body surgeries and identify the most common risk factors contributing to legal claims.
METHODS: A systematic review was conducted in accordance with PRISMA guidelines (registration on PROSPERO ID: CRD420251043585). Forty-one",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41709798,https://pubmed.ncbi.nlm.nih.gov/41709798/,Giant Left Ventricular Pseudoaneurysm After Percutaneous Transluminal Coronary Angioplasty.,JACC. Case reports,2026,"BACKGROUND: Left ventricular pseudoaneurysm (LVPA) is a rare but life-threatening complication that commonly occurs secondary to myocardial infarction, surgery, trauma, and infection.
CASE SUMMARY: We report an 80-year-old woman who presented with ischemic chest pain after undergoing percutaneous transluminal coronary angioplasty. Transthoracic echocardiography demonstrated a giant LVPA in the left ventricular inferolateral wall. Although surgical intervention was indicated, we proceeded with conservative management based on patient preference after thorough counseling. The patient was success",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41906875,https://pubmed.ncbi.nlm.nih.gov/41906875/,Cerebral Edema in Patients With Large Ischemic Core After Thrombectomy: A Secondary Analysis of SELECT2 Randomized Trial.,Stroke,2026,"BACKGROUND: Cerebral edema is a life-threatening complication of ischemic stroke that disproportionally affects patients with large established infarction. We assessed whether endovascular thrombectomy (EVT) reduces or exacerbates edema development, and the association between edema with short-term and long-term outcomes in this high-risk population.
METHODS: In this prespecified secondary analysis of the SELECT2 randomized clinical trial (Randomized Controlled Trial to Optimize Patient's Selection for Endovascular Treatment in Acute Ischemic Stroke), which tested the efficacy and safety of EV",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,42170566,https://pubmed.ncbi.nlm.nih.gov/42170566/,Venous congestive ischemic colitis following left hemicolectomy: A rare case of superior rectal vein occlusion.,Radiology case reports,2026,"Ischemic colitis is primarily caused by arterial hypoperfusion, while venous obstruction is rarely documented as the primary cause, particularly as a postoperative complication. This report describes a 66-year-old man who presented with abdominal pain, cramping, and diarrhea 6 days after an elective left hemicolectomy. Contrast-enhanced CT was instrumental in identifying the vascular etiology, revealing an occlusion of the superior rectal vein alongside circumferential wall thickening and submucosal edema in the rectosigmoid colon. Histopathologic analysis confirmed the diagnosis, showing stro",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41738408,https://pubmed.ncbi.nlm.nih.gov/41738408/,[Coronary embolism from atrial myxoma: a rare cause of myocardial infarction? Case report and literature review].,Giornale italiano di cardiologia (2006),2026,"A 44-year-old man with no known cardiovascular history or risk factors experienced chest pain after a volleyball match. ECG showed ST-segment elevation in the inferior leads, a finding consistent with ST-elevation myocardial infarction (STEMI). The patient was urgently taken to the cath lab, where coronary angiography revealed complete occlusion of the distal left anterior descending artery and of an obtuse marginal branch. Plain old balloon angioplasty was attempted but unsuccessful. During the procedure, an abnormal vascular network originating from the right coronary artery and the circumfl",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41553315,https://pubmed.ncbi.nlm.nih.gov/41553315/,Severe Coronary Vasospasm and the Role of Nontraditional Risk Factors.,JACC. Case reports,2026,"BACKGROUND: Coronary artery vasospasm is an under-recognized cause of myocardial ischemia that mimics acute coronary syndromes and poses a diagnostic challenge in patients with complex comorbidities.
CASE SUMMARY: A 71-year-old woman with IgG multiple myeloma on chemotherapy with a history of hypertension and chronic atopy with late-onset asthma, developed a presyncopal episode during a routine oncology visit. She was hypotensive with transient complete heart block and ventricular tachycardia. Electrocardiogram showed inferior ST-segment elevations and elevated cardiac biomarkers. Coronary ang",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41663768,https://pubmed.ncbi.nlm.nih.gov/41663768/,Filler-Induced Lymphatic Compromise: In Silico Modelling of Facial Safety Thresholds and Injection Techniques.,Aesthetic plastic surgery,2026,"INTRODUCTION: Soft tissue fillers are central to facial rejuvenation, but their impact on lymphatic drainage is poorly quantified. Lymphatic vessels operate at very low pressures and collapse with modest external load. Persistent oedema in regions such as the tear trough and malar area suggests filler-lymphatic interactions drive complications.
METHODS: A multiscale finite element model was built in the AesthetiSIM™ platform to simulate filler-tissue-lymphatic interactions. A virtual cohort of 10,000 anatomically varied patients was generated from MRI, cadaveric, and lymphangiographic data. Se",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41635824,https://pubmed.ncbi.nlm.nih.gov/41635824/,Cardiac papillary fibroelastoma mimicking left ventricle apical thrombus.,Journal of cardiology cases,2025,"Papillary fibroelastomas (PFE) are one of the most common types of primary cardiac tumors. They are a potential cause of transient ischemic attacks (TIA), strokes, myocardial infarction, and sudden death. We report the case of a 64-year-old woman who suffered from a TIA 10 years previously and a stroke a few years later. Transthoracic echocardiography (TTE) revealed a mass compatible with a thrombus in the apex of the left ventricle. The rest of the etiological assessment was negative. Anticoagulation treatment was started along with a TTE and magnetic resonance imaging (MRI) follow up. The pa",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41704825,https://pubmed.ncbi.nlm.nih.gov/41704825/,Left ventricular perforation following impella® CP placement in a resuscitated STEMI patient with cardiogenic shock: a rare complication and case report.,European heart journal. Case reports,2026,"Background: The use of mechanical circulatory support (MCS) for acute haemodynamic stabilization in cardiogenic shock has increased over the past decade. Impella® heart pumps (Abiomed) are intravascular microaxial blood pumps designed to provide temporary MCS during high-risk percutaneous coronary intervention (HRPCI) and the management of cardiogenic shock. However, despite their increasing use, there are limited randomized clinical trials to support the benefits of the therapy and growing concern regarding complication rates. The objective of this report is to present a rare case of a left v",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41125814,https://pubmed.ncbi.nlm.nih.gov/41125814/,An Analysis of Severe Ophthalmologic Complications Following Plastic and Cosmetic Procedures: Insights and Experience Sharing.,Aesthetic plastic surgery,2025,"BACKGROUNDS: Although severe ocular complications following plastic and cosmetic surgeries or treatments are relatively uncommon, early diagnosis and intervention are essential for improving prognosis. This study investigates optimized strategies for the effective identification and management of these complications.
METHODS: A retrospective study was conducted on 11 patients (10 female, 1male, mean age: 38.5) with severe ocular complications after plastic and aesthetic surgery or procedures treated at a single referral center between January 2014 and December 2024. Types of ocular complicatio",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,39908171,https://pubmed.ncbi.nlm.nih.gov/39908171/,Targeting intracellular autophagic process for the treatment of post-stroke ischemia/reperfusion injury.,Animal models and experimental medicine,2025,"Cerebral ischemia/reperfusion (I/R) injury is an important pathophysiological condition of ischemic stroke that involves a variety of physiological and pathological cell death pathways, including autophagy, apoptosis, necroptosis, and phagoptosis, among which autophagy is the most studied. We have reviewed studies published in the past 5 years regarding the association between autophagy and cerebral I/R injury. To the best of our knowledge, this is the first review article summarizing potential candidates targeting autophagic pathways in the treatment of I/R injury post ischemic stroke. The fi",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41735820,https://pubmed.ncbi.nlm.nih.gov/41735820/,Cerebral Fat Embolism Syndrome in Homozygous Sickle Cell Disease Treated With Therapeutic Plasma Exchange and Simple Transfusions.,Journal of clinical apheresis,2026,"Fat embolism syndrome (FES) is a rare, life-threatening complication of sickle cell disease (SCD) associated with high mortality and neurologic morbidity. We report a 17-year-old male with homozygous SCD (HbSS) who developed cerebral FES following vaso-occlusive and acute chest syndrome (ACS). Diagnosis was supported by clinical findings and characteristic punctate lesions on brain MRI. He received multiple simple red blood cell transfusions and four sessions of therapeutic plasma exchange (TPE), followed by 1 year of chronic transfusions. ADAMTS13 activity was mildly reduced but inconsistent ",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,42180391,https://pubmed.ncbi.nlm.nih.gov/42180391/,Cerebral fat embolism treated with mechanical embolectomy: case report and systematic review of the literature.,BJR case reports,2026,"Cerebral fat embolism (CFE) is a rare complication of orthopaedic, cardiac and plastic surgery and major trauma. Mechanical embolectomy has been used as a treatment option for this condition. Here, we described a case report of an elderly woman who developed CFE after a total hip replacement which was treated with mechanical embolectomy with aspiration alone. The patient developed left-sided hemiparesis and abnormal posturing after surgery and a CT angiogram 45 minutes later showed a right M1 embolus with fat attenuation. Mechanical embolectomy with aspiration was conducted to produce a TICI s",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41461290,https://pubmed.ncbi.nlm.nih.gov/41461290/,Compressive optic neuropathy secondary to titanium mesh implant in orbital fracture. Case report.,Archivos de la Sociedad Espanola de Oftalmologia,2025,"Orbital fractures are a common cause of facial trauma and may lead to significant functional impairments. Titanium mesh implants are frequently used in orbital reconstruction; however, complications can arise if improperly placed. We report the case of a 40-year-old woman who sustained cranioencephalic trauma in a traffic accident, resulting in fractures of the orbital floor and medial wall. She underwent early maxillofacial surgery without prior ophthalmologic evaluation, and a titanium mesh was implanted. Postoperatively, she developed sudden vision loss. A second surgery replaced the implan",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41386951,https://pubmed.ncbi.nlm.nih.gov/41386951/,Methamphetamine-Induced Coronary Vasospasm and Recurrent Cardiac Arrest: A Quick Glance May Not Be Good Enough.,JACC. Case reports,2025,"BACKGROUND: Methamphetamine can cause coronary vasospasm and atherosclerotic plaque disruption, leading to myocardial ischemia and tachyarrhythmias.
CASE SUMMARY: A 51-year-old man experienced recurrent episodes of polymorphic ventricular tachycardia (PMVT) and cardiac arrest after using methamphetamine. Initial coronary angiography (CA) revealed diffuse multivessel coronary artery disease; therefore, percutaneous coronary intervention was deferred. On day 12 of hospitalization, he developed acute anterior ST-segment elevation myocardial infarction complicated by PMVT and cardiac arrest. Repea",bge_m3,
